subset,model,hidden_size,num_layers,dropout,learning_rate,rmse_mean,rmse_std,score_mean,score_std,params,n
FD001,gru,90,2,0.2,0.0005,6.164625962575276,0.21925205256147348,55.72093200683594,3.664482489836827,81901,3
FD002,bigru,60,2,0.1,0.0005,14.502026240030924,1.2258581980792511,1879.5035807291667,688.1087756528982,99061,3
FD003,gru,90,2,0.2,0.0005,5.365706284840901,0.0702965318841618,45.98124567667643,4.259168513534189,82441,3
FD004,bigru,60,2,0.1,0.0005,16.772515932718914,1.070200037801749,1194.1881510416667,39.50740942813207,99061,3
